id,place_id,user_id,rating,review_text,review_date
1,1,4657,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-04-05
2,1,9935,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-12
3,2,1434,4.3,Sample synthetic review for demo purposes - not a real user review.,2024-09-21
4,2,9928,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-04-15
5,2,5557,4.7,Sample synthetic review for demo purposes - not a real user review.,2026-07-12
6,2,3615,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-08-04
7,3,2674,3.6,Sample synthetic review for demo purposes - not a real user review.,2026-04-10
8,3,6881,4.8,Sample synthetic review for demo purposes - not a real user review.,2024-11-07
9,3,5333,4.7,Sample synthetic review for demo purposes - not a real user review.,2025-04-04
10,4,6925,4.4,Sample synthetic review for demo purposes - not a real user review.,2026-05-08
11,4,1750,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-09-25
12,4,2307,4.8,Sample synthetic review for demo purposes - not a real user review.,2026-04-06
13,5,3664,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-12-16
14,5,5374,4.6,Sample synthetic review for demo purposes - not a real user review.,2024-08-18
15,5,2169,4.4,Sample synthetic review for demo purposes - not a real user review.,2026-01-24
16,6,5422,5.0,Sample synthetic review for demo purposes - not a real user review.,2024-10-01
17,6,4598,4.5,Sample synthetic review for demo purposes - not a real user review.,2026-05-22
18,6,4752,4.7,Sample synthetic review for demo purposes - not a real user review.,2025-08-29
19,7,6155,3.8,Sample synthetic review for demo purposes - not a real user review.,2025-02-22
20,7,7482,4.8,Sample synthetic review for demo purposes - not a real user review.,2024-09-28
21,7,8517,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-02-26
22,7,5040,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-01-13
23,8,7543,4.0,Sample synthetic review for demo purposes - not a real user review.,2026-02-27
24,8,9348,4.2,Sample synthetic review for demo purposes - not a real user review.,2026-05-31
25,8,2796,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-02-05
26,8,7916,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-06-19
27,9,1188,4.5,Sample synthetic review for demo purposes - not a real user review.,2026-03-23
28,9,9797,4.6,Sample synthetic review for demo purposes - not a real user review.,2024-09-30
29,9,6573,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-04-29
30,9,3591,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-10-22
31,10,5889,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-02-14
32,10,4258,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-02-03
33,11,6310,4.2,Sample synthetic review for demo purposes - not a real user review.,2026-03-26
34,11,6947,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-09-07
35,11,4923,3.6,Sample synthetic review for demo purposes - not a real user review.,2024-12-15
36,11,2290,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-03-08
37,12,8787,4.9,Sample synthetic review for demo purposes - not a real user review.,2026-01-30
38,12,5342,4.3,Sample synthetic review for demo purposes - not a real user review.,2024-11-04
39,13,4295,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-06-05
40,13,7118,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-02-04
41,13,8397,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-11-30
42,13,2049,4.0,Sample synthetic review for demo purposes - not a real user review.,2024-11-23
43,14,1964,3.8,Sample synthetic review for demo purposes - not a real user review.,2026-06-16
44,14,6413,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-11-17
45,15,8744,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-03-21
46,15,7669,3.8,Sample synthetic review for demo purposes - not a real user review.,2026-04-10
47,16,1887,4.5,Sample synthetic review for demo purposes - not a real user review.,2024-09-25
48,16,2612,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-08-05
49,16,2790,3.9,Sample synthetic review for demo purposes - not a real user review.,2026-01-05
50,17,8579,3.9,Sample synthetic review for demo purposes - not a real user review.,2026-05-02
51,17,8260,4.7,Sample synthetic review for demo purposes - not a real user review.,2025-01-01
52,17,2604,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-01-11
53,18,3724,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-03-13
54,18,4502,4.8,Sample synthetic review for demo purposes - not a real user review.,2026-05-19
55,19,8454,3.9,Sample synthetic review for demo purposes - not a real user review.,2024-12-26
56,19,8973,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-09-18
57,19,4566,5.0,Sample synthetic review for demo purposes - not a real user review.,2024-12-02
58,20,1821,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-02-19
59,20,9701,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-02-13
60,21,4853,4.1,Sample synthetic review for demo purposes - not a real user review.,2024-12-12
61,21,5033,4.4,Sample synthetic review for demo purposes - not a real user review.,2026-06-08
62,22,9565,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-10-24
63,22,4346,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-08-31
64,22,4910,3.9,Sample synthetic review for demo purposes - not a real user review.,2026-03-06
65,22,5915,4.2,Sample synthetic review for demo purposes - not a real user review.,2026-05-05
66,23,2200,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-02-15
67,23,5345,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-07-26
68,24,8179,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-09-12
69,24,9666,3.5,Sample synthetic review for demo purposes - not a real user review.,2024-12-28
70,25,5333,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-03-31
71,25,3546,3.9,Sample synthetic review for demo purposes - not a real user review.,2024-11-06
72,26,5325,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-11-03
73,26,1832,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-11
74,26,5533,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-08-11
75,26,3143,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-10-23
76,27,1158,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-02-16
77,27,9938,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-07-05
78,27,3426,4.1,Sample synthetic review for demo purposes - not a real user review.,2026-06-06
79,28,5088,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-07-21
80,28,7658,5.0,Sample synthetic review for demo purposes - not a real user review.,2026-02-10
81,29,7755,3.5,Sample synthetic review for demo purposes - not a real user review.,2025-08-12
82,29,7745,4.7,Sample synthetic review for demo purposes - not a real user review.,2025-11-06
83,30,8711,3.8,Sample synthetic review for demo purposes - not a real user review.,2025-04-03
84,30,6728,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-11-27
85,31,5564,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-10-06
86,31,6753,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-06-04
87,31,9785,4.0,Sample synthetic review for demo purposes - not a real user review.,2026-06-20
88,32,1626,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-04-30
89,32,6663,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-08-31
90,32,8149,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-02-10
91,33,8144,3.5,Sample synthetic review for demo purposes - not a real user review.,2025-01-13
92,33,4228,4.0,Sample synthetic review for demo purposes - not a real user review.,2026-05-08
93,34,3041,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-09-14
94,34,9308,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-05-26
95,34,6344,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-09-19
96,34,3085,3.8,Sample synthetic review for demo purposes - not a real user review.,2024-09-06
97,35,5930,4.1,Sample synthetic review for demo purposes - not a real user review.,2026-07-18
98,35,5978,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-05-04
99,36,8238,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-12-12
100,36,9375,4.2,Sample synthetic review for demo purposes - not a real user review.,2026-01-26
101,36,2389,3.9,Sample synthetic review for demo purposes - not a real user review.,2024-09-07
102,37,6085,3.8,Sample synthetic review for demo purposes - not a real user review.,2025-12-27
103,37,3414,3.5,Sample synthetic review for demo purposes - not a real user review.,2025-11-10
104,38,8461,4.1,Sample synthetic review for demo purposes - not a real user review.,2024-10-12
105,38,4185,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-06-20
106,39,1090,4.8,Sample synthetic review for demo purposes - not a real user review.,2026-03-31
107,39,7965,3.8,Sample synthetic review for demo purposes - not a real user review.,2025-02-03
108,39,8611,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-11-05
109,39,2988,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-03-30
110,40,9270,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-01-03
111,40,8305,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-03-19
112,40,8373,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-11-07
113,41,8939,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-10-10
114,41,8206,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-09-29
115,41,4841,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-08-25
116,41,9849,3.6,Sample synthetic review for demo purposes - not a real user review.,2026-02-14
117,42,2052,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-08-14
118,42,9890,4.2,Sample synthetic review for demo purposes - not a real user review.,2026-05-16
119,43,1320,4.8,Sample synthetic review for demo purposes - not a real user review.,2024-12-06
120,43,7232,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-07-23
121,43,5892,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-15
122,43,9818,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-01-05
123,44,8140,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-06-15
124,44,6507,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-05-30
125,44,3704,4.8,Sample synthetic review for demo purposes - not a real user review.,2026-03-10
126,45,1444,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-06
127,45,3223,4.8,Sample synthetic review for demo purposes - not a real user review.,2026-01-13
128,45,1823,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-08-17
129,46,5558,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-13
130,46,5133,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-03-24
131,46,1317,4.6,Sample synthetic review for demo purposes - not a real user review.,2026-05-26
132,47,1659,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-11-07
133,47,4266,4.8,Sample synthetic review for demo purposes - not a real user review.,2024-10-20
134,48,4571,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-10-29
135,48,7043,3.8,Sample synthetic review for demo purposes - not a real user review.,2024-11-04
136,49,6096,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-06-22
137,49,6111,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-06-29
138,50,4978,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-09-13
139,50,2983,4.7,Sample synthetic review for demo purposes - not a real user review.,2024-12-16
140,50,1672,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-05-06
141,50,7071,3.6,Sample synthetic review for demo purposes - not a real user review.,2024-09-23
142,51,8102,4.9,Sample synthetic review for demo purposes - not a real user review.,2024-10-06
143,51,8532,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-04-29
144,52,9817,4.7,Sample synthetic review for demo purposes - not a real user review.,2025-03-29
145,52,8136,4.7,Sample synthetic review for demo purposes - not a real user review.,2024-11-19
146,52,5397,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-11-09
147,53,4995,4.6,Sample synthetic review for demo purposes - not a real user review.,2024-12-12
148,53,7209,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-02-27
149,53,6325,3.8,Sample synthetic review for demo purposes - not a real user review.,2025-12-13
150,54,5526,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-02-04
151,54,4130,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-28
152,54,9004,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-11-14
153,54,8800,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-03-03
154,55,7625,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-09-08
155,55,7046,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-01-21
156,56,8434,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-11-03
157,56,4777,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-01-02
158,56,6169,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-01-16
159,56,4033,3.8,Sample synthetic review for demo purposes - not a real user review.,2025-03-10
160,57,5636,5.0,Sample synthetic review for demo purposes - not a real user review.,2026-01-01
161,57,5853,3.8,Sample synthetic review for demo purposes - not a real user review.,2026-01-16
162,57,5952,3.5,Sample synthetic review for demo purposes - not a real user review.,2025-01-18
163,57,3073,3.9,Sample synthetic review for demo purposes - not a real user review.,2026-05-24
164,58,9042,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-07-06
165,58,5658,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-04-23
166,58,6582,3.8,Sample synthetic review for demo purposes - not a real user review.,2026-05-27
167,58,5136,4.9,Sample synthetic review for demo purposes - not a real user review.,2025-03-16
168,59,1878,3.7,Sample synthetic review for demo purposes - not a real user review.,2024-12-19
169,59,5978,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-11-06
170,60,4697,4.7,Sample synthetic review for demo purposes - not a real user review.,2025-06-24
171,60,8381,4.9,Sample synthetic review for demo purposes - not a real user review.,2025-09-17
172,60,8025,4.0,Sample synthetic review for demo purposes - not a real user review.,2024-10-21
173,60,1986,4.4,Sample synthetic review for demo purposes - not a real user review.,2026-04-08
174,61,2330,3.7,Sample synthetic review for demo purposes - not a real user review.,2026-01-22
175,61,2229,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-05-26
176,61,8381,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-03-24
177,62,8438,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-11-21
178,62,5334,4.7,Sample synthetic review for demo purposes - not a real user review.,2024-10-16
179,62,4241,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-01-07
180,63,2169,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-09-07
181,63,5728,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-03-26
182,64,9199,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-04-26
183,64,2317,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-05-02
184,64,6280,4.4,Sample synthetic review for demo purposes - not a real user review.,2026-06-22
185,65,1339,5.0,Sample synthetic review for demo purposes - not a real user review.,2024-08-29
186,65,5415,4.4,Sample synthetic review for demo purposes - not a real user review.,2026-01-20
187,65,8708,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-04-22
188,65,5557,3.8,Sample synthetic review for demo purposes - not a real user review.,2024-11-26
189,66,6700,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-08-24
190,66,2713,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-08-15
191,66,7744,4.5,Sample synthetic review for demo purposes - not a real user review.,2025-09-26
192,67,1601,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-08-30
193,67,5135,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-05-31
194,67,9431,4.7,Sample synthetic review for demo purposes - not a real user review.,2026-07-17
195,67,9889,4.2,Sample synthetic review for demo purposes - not a real user review.,2026-05-24
196,68,8242,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-12-22
197,68,5375,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-09-27
198,68,8178,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-03-09
199,69,3594,4.0,Sample synthetic review for demo purposes - not a real user review.,2026-07-04
200,69,7684,3.6,Sample synthetic review for demo purposes - not a real user review.,2026-03-24
201,70,9165,4.9,Sample synthetic review for demo purposes - not a real user review.,2025-09-23
202,70,9337,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-05-19
203,71,3369,4.1,Sample synthetic review for demo purposes - not a real user review.,2024-11-12
204,71,9327,4.6,Sample synthetic review for demo purposes - not a real user review.,2026-03-01
205,71,2143,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-05-20
206,71,6568,4.9,Sample synthetic review for demo purposes - not a real user review.,2025-02-14
207,72,9022,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-04-17
208,72,9824,4.2,Sample synthetic review for demo purposes - not a real user review.,2025-08-12
209,72,9903,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-08-23
210,73,4826,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-05-24
211,73,1715,4.0,Sample synthetic review for demo purposes - not a real user review.,2025-03-21
212,73,7246,4.1,Sample synthetic review for demo purposes - not a real user review.,2024-09-07
213,74,1606,3.7,Sample synthetic review for demo purposes - not a real user review.,2024-11-21
214,74,6439,4.8,Sample synthetic review for demo purposes - not a real user review.,2025-04-24
215,74,2633,4.3,Sample synthetic review for demo purposes - not a real user review.,2025-04-07
216,75,3529,3.6,Sample synthetic review for demo purposes - not a real user review.,2025-10-20
217,75,6546,4.4,Sample synthetic review for demo purposes - not a real user review.,2025-06-06
218,75,2315,4.8,Sample synthetic review for demo purposes - not a real user review.,2024-08-27
219,75,9742,4.1,Sample synthetic review for demo purposes - not a real user review.,2025-08-28
220,76,2121,3.9,Sample synthetic review for demo purposes - not a real user review.,2025-09-27
221,76,4727,4.6,Sample synthetic review for demo purposes - not a real user review.,2025-04-30
222,77,8269,3.7,Sample synthetic review for demo purposes - not a real user review.,2025-09-15
223,77,1474,3.6,Sample synthetic review for demo purposes - not a real user review.,2026-05-22
224,78,9702,4.1,Sample synthetic review for demo purposes - not a real user review.,2024-08-19
225,78,3950,3.8,Sample synthetic review for demo purposes - not a real user review.,2026-04-29
226,79,9153,4.9,Sample synthetic review for demo purposes - not a real user review.,2026-02-22
